0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
26411;;¬;¬;PR;;;_¬_ общем , на;в;;;;;;PR;¬;PR;¬
26412;;общем;ќЅў»…;A - loc sg plen m -;;;¬ _общем_ , на дн€х;м;е;щ;б;о;;A;ќЅў»…;A - loc sg plen m -;…
26413;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26414;;на;Ќј;PR;;;¬ общем , _на_ дн€х профессор бесследно;а;н;;;;;PR;Ќј;PR;ј
26415;;дн€х;ƒ≈Ќ№;S m inan loc pl;;;общем , на _дн€х_ профессор бесследно исчез;х;€;н;д;;;S;ƒ≈Ќ№;S m inan loc pl;№
26416;;профессор;ѕ–ќ‘≈——ќ–;S m anim nom sg;;;, на дн€х _профессор_ бесследно исчез ,;р;о;с;с;е;ф;S;ѕ–ќ‘≈——ќ–;S m anim nom sg;–
26417;;бесследно;Ѕ≈——Ћ≈ƒЌќ;ADV -;;;на дн€х профессор _бесследно_ исчез , и;о;н;д;е;л;с;ADV;Ѕ≈——Ћ≈ƒЌќ;ADV -;ќ
26418;;исчез;»—„≈«Ќ”“№;V pf praet sg indic m -;;;дн€х профессор бесследно _исчез_ , и нашей;з;е;ч;с;и;;V;»—„≈«Ќ”“№;V pf praet sg indic m -;№
26419;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26420;;и;»;CONJ;;;бесследно исчез , _и_ нашей команде необходимо;и;;;;;;CONJ;»;CONJ;»
26421;;нашей;ЌјЎ;APRO - dat sg plen f -;;;исчез , и _нашей_ команде необходимо было;й;е;ш;а;н;;APRO;ЌјЎ;A - gen sg plen f -;Ў
26422;;команде; ќћјЌƒј;S f inan dat sg;;;, и нашей _команде_ необходимо было пон€ть;е;д;н;а;м;о;S; ќћјЌƒј;S f inan dat sg;ј
26423;;необходимо;Ќ≈ќЅ’ќƒ»ћќ;PRAEDIC;;;и нашей команде _необходимо_ было пон€ть ,;о;м;и;д;о;х;ADV;Ќ≈ќЅ’ќƒ»ћќ;ADV -;ќ
26424;;было;Ѕџ“№;V ipf praet sg indic n -;;;нашей команде необходимо _было_ пон€ть , что;о;л;ы;б;;;V;Ѕџ“№;V ipf praet sg indic n -;№
26425;;пон€ть;ѕќЌя“№;V pf - - inf - -;;;команде необходимо было _пон€ть_ , что случилось;ь;т;€;н;о;п;V;ѕќЌя“№;V pf - - inf - -;№
26426;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26427;;что;„“ќ;SPRO - - - nom;;;было пон€ть , _что_ случилось с –обертом;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
26428;;случилось;—Ћ”„»“№—я;V pf praet sg indic n -;;;пон€ть , что _случилось_ с –обертом Ћэнгдом;ь;с;о;л;и;ч;V;—Ћ”„»“№—я;V pf praet sg indic n -;я
26429;;с;—;PR;;;, что случилось _с_ –обертом Ћэнгдом и;с;;;;;;PR;—;PR;—
26430;;–обертом;–ќЅ≈–“;S persn m anim ins sg;;;что случилось с _–обертом_ Ћэнгдом и есть;м;о;т;р;е;б;S;–ќЅ≈–“;S m anim ins sg;“
26431;;Ћэнгдом;ЋЁЌ√ƒ;S famn m anim ins sg;;;случилось с –обертом _Ћэнгдом_ и есть ли;м;о;д;г;н;э;S;ЋЁЌ√ƒ;S m anim ins sg;ƒ
26432;;и;»;CONJ;;;с –обертом Ћэнгдом _и_ есть ли шанс;и;;;;;;CONJ;»;CONJ;»
26433;;есть;Ѕџ“№;V ipf praes - indic - -;;;–обертом Ћэнгдом и _есть_ ли шанс его;ь;т;с;е;;;V;Ѕџ“№;V ipf praes sg indic - 3p;№
26434;;ли;Ћ»;PART;;;Ћэнгдом и есть _ли_ шанс его найти;и;л;;;;;PART;Ћ»;PART;»
26435;;шанс;ЎјЌ—;S m inan nom sg;;;и есть ли _шанс_ его найти .;с;н;а;ш;;;S;ЎјЌ—;S m inan nom sg;—
26436;;его;ќЌ;SPRO sg 3p m acc;;;есть ли шанс _его_ найти .;о;г;е;;;;SPRO;≈√ќ;A - nonflex - plen - -;Ќ
26437;;найти;Ќј…“»;V pf - - inf - -;;;ли шанс его _найти_ .;и;т;й;а;н;;V;Ќј…“»;V pf - - inf - -;»
26438;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26439;;;;;;;;;;;;;;;;;
26440;# sent = 1964;;;;;;;;;;;;;;;;
26441;# speaker = Ќад€;;;;;;;;;;;;;;;;
26442;# sent = 1965;;;;;;;;;;;;;;;;
