0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
26411;;В;В;PR;;;_В_ общем , на;в;;;;;;PR;В;PR;В
26412;;общем;ОБЩИЙ;A - loc sg plen m -;;;В _общем_ , на днях;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26413;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26414;;на;НА;PR;;;В общем , _на_ днях профессор бесследно;а;н;;;;;PR;НА;PR;А
26415;;днях;ДЕНЬ;S m inan loc pl;;;общем , на _днях_ профессор бесследно исчез;х;я;н;д;;;S;ДЕНЬ;S m inan loc pl;Ь
26416;;профессор;ПРОФЕССОР;S m anim nom sg;;;, на днях _профессор_ бесследно исчез ,;р;о;с;с;е;ф;S;ПРОФЕССОР;S m anim nom sg;Р
26417;;бесследно;БЕССЛЕДНО;ADV -;;;на днях профессор _бесследно_ исчез , и;о;н;д;е;л;с;ADV;БЕССЛЕДНО;ADV -;О
26418;;исчез;ИСЧЕЗНУТЬ;V pf praet sg indic m -;;;днях профессор бесследно _исчез_ , и нашей;з;е;ч;с;и;;V;ИСЧЕЗНУТЬ;V pf praet sg indic m -;Ь
26419;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26420;;и;И;CONJ;;;бесследно исчез , _и_ нашей команде необходимо;и;;;;;;CONJ;И;CONJ;И
26421;;нашей;НАШ;APRO - dat sg plen f -;;;исчез , и _нашей_ команде необходимо было;й;е;ш;а;н;;APRO;НАШ;A - gen sg plen f -;Ш
26422;;команде;КОМАНДА;S f inan dat sg;;;, и нашей _команде_ необходимо было понять;е;д;н;а;м;о;S;КОМАНДА;S f inan dat sg;А
26423;;необходимо;НЕОБХОДИМО;PRAEDIC;;;и нашей команде _необходимо_ было понять ,;о;м;и;д;о;х;ADV;НЕОБХОДИМО;ADV -;О
26424;;было;БЫТЬ;V ipf praet sg indic n -;;;нашей команде необходимо _было_ понять , что;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
26425;;понять;ПОНЯТЬ;V pf - - inf - -;;;команде необходимо было _понять_ , что случилось;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -;Ь
26426;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26427;;что;ЧТО;SPRO - - - nom;;;было понять , _что_ случилось с Робертом;о;т;ч;;;;CONJ;ЧТО;CONJ;О
26428;;случилось;СЛУЧИТЬСЯ;V pf praet sg indic n -;;;понять , что _случилось_ с Робертом Лэнгдом;ь;с;о;л;и;ч;V;СЛУЧИТЬСЯ;V pf praet sg indic n -;Я
26429;;с;С;PR;;;, что случилось _с_ Робертом Лэнгдом и;с;;;;;;PR;С;PR;С
26430;;Робертом;РОБЕРТ;S persn m anim ins sg;;;что случилось с _Робертом_ Лэнгдом и есть;м;о;т;р;е;б;S;РОБЕРТ;S m anim ins sg;Т
26431;;Лэнгдом;ЛЭНГД;S famn m anim ins sg;;;случилось с Робертом _Лэнгдом_ и есть ли;м;о;д;г;н;э;S;ЛЭНГД;S m anim ins sg;Д
26432;;и;И;CONJ;;;с Робертом Лэнгдом _и_ есть ли шанс;и;;;;;;CONJ;И;CONJ;И
26433;;есть;БЫТЬ;V ipf praes - indic - -;;;Робертом Лэнгдом и _есть_ ли шанс его;ь;т;с;е;;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
26434;;ли;ЛИ;PART;;;Лэнгдом и есть _ли_ шанс его найти;и;л;;;;;PART;ЛИ;PART;И
26435;;шанс;ШАНС;S m inan nom sg;;;и есть ли _шанс_ его найти .;с;н;а;ш;;;S;ШАНС;S m inan nom sg;С
26436;;его;ОН;SPRO sg 3p m acc;;;есть ли шанс _его_ найти .;о;г;е;;;;SPRO;ЕГО;A - nonflex - plen - -;Н
26437;;найти;НАЙТИ;V pf - - inf - -;;;ли шанс его _найти_ .;и;т;й;а;н;;V;НАЙТИ;V pf - - inf - -;И
26438;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26439;;;;;;;;;;;;;;;;;
26440;# sent = 1964;;;;;;;;;;;;;;;;
26441;# speaker = Надя;;;;;;;;;;;;;;;;
26442;# sent = 1965;;;;;;;;;;;;;;;;
26443;;В;В;PR;;;_В_ общем , нас;в;;;;;;PR;В;PR;В
26444;;общем;ОБЩИЙ;A - loc sg plen m -;;;В _общем_ , нас всех;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26445;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26446;;нас;МЫ;SPRO pl 1p - acc;;;В общем , _нас_ всех запускает ,;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc;Ы
26447;;всех;ВСЕ;S - - acc pl;;;общем , нас _всех_ запускает , аа;х;е;с;в;;;S;ВСЕ;S - - loc pl;Е
26448;;запускает;ЗАПУСКАТЬ;V ipf praes sg indic - 3p;;;, нас всех _запускает_ , аа ,;т;е;а;к;с;у;V;ЗАПУСКАТЬ;V ipf praes sg indic - 3p;Ь
26449;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26450;;аа;АА;NONLEX;;;всех запускает , _аа_ , сначала в;а;а;;;;;INTJ;АА;NONLEX;А
26451;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26452;;сначала;СНАЧАЛА;ADV -;;;, аа , _сначала_ в приёмную …;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -;А
26453;;в;В;PR;;;аа , сначала _в_ приёмную … аа;в;;;;;;PR;В;PR;В
26454;;приёмную;ПРИЕМНАЯ;S f inan sg acc;;;, сначала в _приёмную_ … аа …;ю;у;н;м;ё;и;A;ПРИЕМНЫЙ;A - acc sg plen f -;Й
26455;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
26456;;аа;АА;NONLEX;;;в приёмную … _аа_ … при …;а;а;;;;;INTJ;АА;NONLEX;А
26457;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
26458;;при;ПРИ;NONLEX;Слитно;;… аа … _при_ … секретарь Лэнгдона;и;р;п;;;;PR;ПРИ;PR;И
26459;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
26460;;секретарь;СЕКРЕТАРЬ;S m anim nom sg;;;… при … _секретарь_ Лэнгдона .;ь;р;а;т;е;р;S;СЕКРЕТАРЬ;S m anim nom sg;Ь
26461;;Лэнгдона;ЛЭНГДОН;S famn m anim gen sg;;;при … секретарь _Лэнгдона_ .;а;н;о;д;г;н;S;ЛЭНГДОН;S m anim nom sg;Н
26462;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26463;;;;;;;;;;;;;;;;;
26464;# sent = 1966;;;;;;;;;;;;;;;;
26465;;Там;ТАМ;ADV -;;;. _Там_ , естественно ,;м;а;т;;;;ADV;ТАМ;ADV -;М
26466;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26467;;естественно;ЕСТЕСТВЕННО;PARENTH;;;Там , _естественно_ , пусто ,;о;н;н;е;в;т;ADV;ЕСТЕСТВЕННО;ADV -;О
26468;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26469;;пусто;ПУСТО;ADV -;;;, естественно , _пусто_ , есть только;о;т;с;у;п;;ADV;ПУСТО;ADV -;О
26470;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26471;;есть;БЫТЬ;V ipf praes - indic --;;;, пусто , _есть_ только антураж ,;ь;т;с;е;;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
26472;;только;ТОЛЬКО;PART;;;пусто , есть _только_ антураж , мебель;о;к;ь;л;о;т;PART;ТОЛЬКО;PART;О
26473;;антураж;АНТУРАЖ;S m inan nom sg;;;, есть только _антураж_ , мебель ,;ж;а;р;у;т;н;S;АНТУРАЖ;S m inan nom sg;Ж
26474;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26475;;мебель;МЕБЕЛЬ;S f inan nom sg;;;только антураж , _мебель_ , и там;ь;л;е;б;е;м;S;МЕБЕЛЬ;S f inan nom sg;Ь
26476;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26477;;и;И;CONJ;;;, мебель , _и_ там иногда автоответчик;и;;;;;;CONJ;И;CONJ;И
26478;;там;ТАМ;ADV -;;;мебель , и _там_ иногда автоответчик говорит;м;а;т;;;;ADV;ТАМ;ADV -;М
26479;;иногда;ИНОГДА;ADV -;;;, и там _иногда_ автоответчик говорит какие-то;а;д;г;о;н;и;ADV;ИНОГДА;ADV -;А
26480;;автоответчик;АВТООТВЕТЧИК;S m inan nom sg;;;и там иногда _автоответчик_ говорит какие-то ненужные;к;и;ч;т;е;в;S;АВТООТВЕТЧИК;S m inan acc sg;К
26481;;говорит;ГОВОРИТЬ;V ipf praes sg indic - 3p;;;там иногда автоответчик _говорит_ какие-то ненужные ,;т;и;р;о;в;о;V;ГОВОРИТЬ;V ipf praes sg indic - 3p;Ь
26482;;какие-то;КАКОЙ-ТО;APRO - nom pl plen - -;;;иногда автоответчик говорит _какие-то_ ненужные , как;о;т;-;е;и;к;APRO;КАКОЙ-ТО;A - nom pl plen - -;О
26483;;ненужные;НЕНУЖНЫЙ;A - nom pl plen - -;;;автоответчик говорит какие-то _ненужные_ , как нам;е;ы;н;ж;у;н;A;НЕНУЖНЫЙ;A - nom pl plen - -;Й
26484;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26485;;как;КАК;CONJ;;;какие-то ненужные , _как_ нам казалось ,;к;а;к;;;;CONJ;КАК;CONJ;К
26486;;нам;МЫ;SPRO pl 1p - dat;;;ненужные , как _нам_ казалось , вещи;м;а;н;;;;SPRO;МЫ;SPRO pl 1p - dat;Ы
26487;;казалось;КАЗАТЬСЯ;V ipf praet sg indic n -;;;, как нам _казалось_ , вещи .;ь;с;о;л;а;з;V;КАЗАТЬСЯ;V ipf praet sg indic n -;Я
26488;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26489;;вещи;ВЕЩЬ;S f inan acc pl;;;нам казалось , _вещи_ .;и;щ;е;в;;;S;ВЕЩЬ;S f inan nom pl;Ь
26490;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26491;;;;;;;;;;;;;;;;;
26492;# sent = 1967;;;;;;;;;;;;;;;;
